,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
0,Aura Fracture,Prophecy,0.2,0.2,0.104589196944883,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.203263951174754,0.301308849193121,0.192983460308688,0.147597726105641,0.204810358869679,0.3,0.246627340801676
1,Negate,Morningtide,0.2,0.2,0.506279801156539,0.177308762756178,0.1,0.1,0.1,0.1,0.186868082333957,0.212048940348679,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.200657903393466,0.2,0.2,0.2,0.376632233321993,0.4,0.299342096606534,0.360210001891909,0.458590810214538,0.375152275495918,0.2
2,Snow-Covered Forest,Coldsnap,0.5,0.5,0.680676531543935,0.7,0.672175187925321,0.782963144034934,0.624998214260204,0.754444059254123,0.765782695323449,0.767871299654213,0.74078935249148,0.615461093639038,0.772881549843643,0.8,0.717117721781277,0.6,0.603152731105686,0.7,0.605929383936384,0.6,0.633032279570086,0.656358312972299,0.767970940606679,0.660088948538797,0.713363183452103,0.713058382045176,0.7,0.780353932784914
3,Latulla's Orders,Prophecy,0.1,0.1,0.1,0.82128579862408,0.9,0.9,0.10595222788897,0.1,0.164267911120539,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.185911194960773,0.288237024255378,0.19912301477651,0.2,0.2,0.2,0.26765854355409
4,Sun Clasp,Visions,0.1,0.1,0.554829055493558,0.8,0.8,0.8,0.109523707481535,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.293393634176884,0.3,0.247756709199127,0.139372309743619,0.200450454508599,0.2,0.2,0.2,0.120420454238326,0.219243497355643,0.249394534446081,0.2
5,Onslaught,Exodus,0.1,0.1,0.243478166350237,0.197590332413644,0.2,0.251481127568084,0.3,0.3,0.179545299585603,0.239960120001446,0.291228174054922,0.184541804953695,0.187994389782964,0.2,0.2,0.2,0.2,0.2,0.252243290800873,0.198550703633386,0.248047730159731,0.200515469231642,0.274182827114257,0.194078869458809,0.2,0.259621748677821,0.3,0.3
6,Trapjaw Kelpie,Eventide,0.1,0.317037411526795,0.106279801156539,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110360003243272,0.1,0.194070616063616,0.2,0.276876818710078,0.397251002587656,0.298039177238769,0.183991894630192,1.2936931864251,0.873544057155228,0.2,0.3
7,Pyknite,Ice Age,0.368963376784606,0.4,0.147342715111813,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.293393634176884,0.3,0.193750420677122,0.1,0.200900909017198,0.2,0.2,0.244737430755668,0.120420454238326,0.1,0.1,0.246031500375004
8,Sinister Strength,Planeshift,0.1,0.1,0.290821606110233,0.209236858275401,0.2,0.2,0.2,0.2,0.208964840642732,0.2,0.2,0.141546254293541,0.157486080390512,0.1,0.184985450319372,0.1,0.1,0.1,0.204486581601746,0.239372309743619,0.2,0.2,0.2,0.355261911340939,0.31276272759214,0.3,0.247576319569447,0.2
9,Sparring Collar,Fifth Dawn,0.1,0.16148123868043,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.251096067053514,0.195045000405409,0.2,0.2,0.2,0.276876818710078,0.302748997412344,0.3,0.160088290635403,0.577477274570041,0.404468602769101,0.143030782377861,0.23531708710818
10,Dewdrop Spy,Morningtide,0.1,0.182037022633585,0.244203539181727,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.107894182818195,0.194070616063616,0.2,0.253453184262921,0.3,0.3,0.140570270661456,0.173273182641285,0.2,0.2,0.3
11,Sangrite Backlash,Alara Reborn,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.107894182818195,0.194070616063616,0.2,0.275525455184281,0.3,0.3,0.301316464690325,0.339339543599492,0.2,0.2,0.3
12,Arcbound Bruiser,Darksteel,0.268963376784606,0.3,0.3,0.3,0.3,0.3,0.100237860540865,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.200515469231642,0.2,0.146930222766089,0.1,0.1,0.1,0.214285884355766
13,Lionheart Maverick,Guildpact,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.202020091061296,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110360003243272,0.1,0.194070616063616,0.2,0.250750457211326,0.3,0.3,0.132675429939868,0.1,0.15910627944618,0.2,0.3
14,Soul Strings,Prophecy,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.257507274840314,0.313573851276817,0.392810643345948,0.265131778049711,0.140840908476653,0.15910627944618,0.2,0.26765854355409
15,Marsh Gas,The Dark,0.1,0.1,0.195410803055117,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.187838178722331,0.1,0.1,0.1,0.152243290800873,0.2,0.2,0.24261126403365,0.26797388184082,0.2,0.2,0.331785894699945,0.384243349879089,0.246627340801676
16,Vulshok Morningstar,Darksteel,0.1,0.162592362137357,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.276876818710078,0.3,0.3,0.375436518901564,0.7,0.463574882215281,0.3,0.2
17,Merrow Witsniper,Morningtide,0.3,0.16481516461294,0.580677256192119,0.6,0.6,0.6,0.100237860540865,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.110210001891909,0.295614415979158,0.205929383936384,0.139372309743619,0.192792727862413,0.2,0.2,0.164693614389663,0.1,0.1,0.224847724504082,0.3
18,Judge Unworthy,Future Sight,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.219969999729727,0.20652841781874,0.280393733210455,0.196491401202647,0.2,0.258590810214538,0.3,0.2
19,Blade of the Sixth Pride,Future Sight,0.1,0.1,0.247101407266772,0.258032024482223,0.199576267595488,0.270925788064312,0.198571408162974,0.2,0.218308093243131,0.28353413896553,0.199342096606534,0.219082160611023,0.2,0.2,0.2,0.2,0.17492454886981,0.2,0.2,0.2,0.2,0.169072361570738,0.278105453048099,0.211842261082383,0.120420454238326,0.1,0.1,0.246627340801676
20,Whipgrass Entangler,Legions,0.2,0.302962255136168,0.11376759083465,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.255043487414308,0.186956332700474,0.2,0.2,0.2,0.253069777233911,0.193994540491356,0.1,0.194070616063616,0.291787562138582,0.3,0.394673656429448,0.298039177238769,0.36293898603929,0.261261813169488,0.2,0.2,0.2
21,Juniper Order Druid,Ice Age,0.368963376784606,0.234630384782053,0.181400455079059,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.293393634176884,0.3,0.247756709199127,0.139372309743619,0.201801818034397,0.2,0.2,0.236624166107449,0.173723637149884,0.2,0.2,0.273015750187502
22,Silver Drake,Planeshift,0.1,0.1,0.195410803055117,0.2,0.296469037873202,0.191481572017467,0.203095044214917,0.2,0.279040371517966,0.270682779310594,0.215350201976342,0.207729822171336,0.2,0.2,0.221321363255525,0.2,0.2,0.2,0.2,0.206763141494804,0.304954549140082,0.31700996917494,0.375163238494872,0.661408702746089,0.519369994324273,0.25910627944618,0.3,0.3
23,Sea Snidd,Planeshift,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.156060651974636,0.180522054482584,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.260660456400508,0.305841812802194,0.375163238494872,0.303509256700746,0.467418174938513,0.15910627944618,0.2,0.26765854355409
