,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
0,"Jace, the Mind Sculptor",Worldwake,60.0,65.9332992588807,66.8794417310396,63.1968469499632,90.8096661836117,132.083984266492,158.787646966385,136.65659875465,122.258108394761,111.012030265425,108.787266937723,101.186999086943,95.0261002211883,96.2986620751948,96.7438256200506,97.3113922551613,99.9061590644961,97.2148909854077,96.827702670218,89.8550703633386,74.5263065433022,70.8184027670388,72.4804358908998,76.5784918222608,74.4511928035388,147.631861153208,121.125167730322,94.1904367909142
1,Ajani Vengeant,Shards of Alara,5.98102627767432,5.61185179835331,5.53575414136437,5.02509608549501,5.51949084314274,8.71830909232325,11.6128544693496,10.9757803437379,12.2664190637808,13.759647104182,13.4203903998737,11.8739032449746,12.9512711972135,12.1118332553751,12.4890336849882,13.5,13.5,12.3304780326057,14.1293296089385,12.9732039594777,12.3226727267813,12.6479479169888,13.7049422537697,13.6662350820406,11.2566068162776,9.86116403261889,9.69092165312097,7.96011797759497
2,Consecrated Sphinx,Mirrodin Besieged,17.0,12.9444549383882,6.66375744576008,6.02148941553513,4.91934889278723,5.75,6.02737539107702,6.87310430805744,10.2574148289002,17.4301136158267,15.5778595770997,15.1137994753547,13.6884202408495,13.1333352150841,14.7502959486122,15.9035085987974,16.4244677879981,24.7212759378413,25.3243733112818,22.9311584225858,22.3373958323949,20.0056675842019,23.231386889939,28.9910327767471,22.9458170794332,14.8807503170136,14.5275695921744,15.177972952059
3,Lord of Extinction,Alara Reborn,6.18454376163873,8.38833264814054,7.26328135190365,7.70983987758889,9.70408647530911,12.9440743786042,12.6685774082487,11.7397798637315,13.2583273358131,13.164261015193,12.8063592942012,13.8328475775011,14.1040953736896,14.004571847933,13.3351268930351,13.9223693732812,14.3671145685997,16.1333418860774,16.9165025625246,17.4589414339338,17.0090045856269,16.921478571944,16.4754946175415,16.0440762378452,14.754663105073,14.5843580861658,16.6242386225204,16.2617037107585
4,Maelstrom Nexus,Alara Reborn,1.13449203393337,2.01388626540295,2.62512210321889,2.56445740310124,3.10479792201629,4.5970371893021,5.71858383691196,6.12155695409272,5.68143925332768,6.45260545307775,6.51425347701943,6.29782315685735,7.37853456385224,7.06854787980451,7.5157514932567,8.98969525914815,9.40570906044199,9.19254792826221,8.84823604073116,8.98333454108031,8.29609050531987,8.89725151805689,9.05787564462048,11.6416242318978,20.4906827989441,22.5197759770719,21.060596556301,20.1107251276801
5,Mayael the Anima,Shards of Alara,1.5258638526795,1.83796208846765,2.38454397889825,2.37690514343546,2.47344299527962,4.24296769964111,4.36094872783897,5.07178162375498,5.14582913506921,4.81546283690165,3.65218687087988,2.17052058725489,2.86229162959008,1.70537911901805,1.78753637420157,1.88859787628785,1.98873908773953,1.75679811576468,1.67035211877037,1.37970912621922,0.995797709889278,1.05395004072207,1.28432028078982,1.23442940038685,1.54324138055298,1.58986432849823,1.11272841324388,0.95773699686901
6,Massacre Wurm,Mirrodin Besieged,5.5,4.8240758230647,3.77463803823244,3.20702478343113,2.96624251052975,3.1837042633807,3.24142844897784,4.05777677035694,4.40757619375904,4.75863383896191,4.8210535664943,4.65241090450586,5.56214459444572,5.84569912417942,6.46665960954603,7.36030934617561,6.70120001081091,7.97235687311675,10.0,10.0,9.15736087712502,8.84896596872133,9.59281848663699,10.5482387926157,10.132134974189,11.218216167177,11.7654648266332,12.5079250943464
7,Thornling,Conflux,2.5,2.5,2.06521616255308,2.1,2.1,2.23925765841843,1.91642952042172,1.77711102814704,2.3173001310616,2.40562416414656,2.14034724141107,2.04443325265584,2.45296527936677,2.5,2.07642636420148,1.8339912367268,1.99249272515969,2.17653324385847,3.16906893335513,2.98671357555907,2.33558815845188,1.88590964855308,1.88007313868899,1.90833497809182,2.23858953684267,1.82921318776482,1.3,2.04226300313099
8,Karn Liberated,New Phyrexia,12.0,13.7507383415371,15.9190814359628,15.4072229785901,17.7476673531132,35.1590878787542,25.8492785611223,26.1855604741397,42.269720603944,61.4697526476223,55.940801852656,47.7175335874433,48.5100763565793,45.0516298649978,47.6815399237831,46.8366195607837,49.568124487608,57.2139080777379,48.8581741170588,48.9975760518268,46.2339156208615,63.9405519644532,69.2238181140807,69.253927683259,69.4669636663393,87.8006474293549,74.8872052219131,87.1924213383493
9,"Uril, the Miststalker",Alara Reborn,3.5862818125388,3.26851020566895,3.20627690256381,3.6879540717358,4.09901312722989,4.34869331881465,4.76214731639023,4.47934039120522,4.72777293767377,5.71927372618947,5.79013210700141,5.75965738633893,6.39689446520733,5.80913643768448,5.69714546977901,5.77214963354781,5.48017955116713,7.60197897340755,6.73397340359042,6.46980753344251,6.02267182587231,6.35841864349117,7.36666699347046,5.89078343136094,6.16921098388274,8.13573387354509,8.59546082656048,8.19443445755306
