,id,cardname,setname,type_line,mana_cost,rarity,oracle_text,power,toughness,loyalty,cmc,set,color_identity,colors,reprint,layout,legalities,timestamp,price
0,3923708a-60b8-4fb0-beb2-9ab18f5fd381,Firesong and Sunspeaker,Dominaria,Legendary Creature — Minotaur Cleric,{4}{R}{W},rare,"Red instant and sorcery spells you control have lifelink.
Whenever a white instant or sorcery spell causes you to gain life, Firesong and Sunspeaker deals 3 damage to target creature or player.",4,6,,6.0,dom,"['R', 'W']","['R', 'W']",False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528476980380,11.5
1,f1e849c3-f357-4e81-a580-be5056bed51b,Chandra's Outburst,Dominaria,Sorcery,{3}{R}{R},rare,"Chandra's Outburst deals 4 damage to target player or planeswalker.
Search your library and/or graveyard for a card named Chandra, Bold Pyromancer, reveal it, and put it into your hand. If you search your library this way, shuffle it.",,,,5.0,dom,['R'],['R'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542041780379,0.1
2,c638677c-2b92-4d0c-b61c-598b5a843844,"Niambi, Faithful Healer",Dominaria,Legendary Creature — Human Cleric,{1}{W}{U},rare,"When Niambi, Faithful Healer enters the battlefield, you may search your library and/or graveyard for a card named Teferi, Timebender, reveal it, and put it into your hand. If you search your library this way, shuffle it.",2,2,,3.0,dom,"['U', 'W']","['U', 'W']",False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542041780379,0.1
3,ba05cf47-9823-41f9-b893-321ea89e473e,Woodland Cemetery,Dominaria,Land,,rare,"Woodland Cemetery enters the battlefield tapped unless you control a Swamp or a Forest.
{T}: Add {B} or {G}.",,,,0.0,dom,"['B', 'G']",[],True,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542041780378,6.0
4,6bc412fc-e9d4-4283-bd4a-811384e79b5c,Sulfur Falls,Dominaria,Land,,rare,"Sulfur Falls enters the battlefield tapped unless you control an Island or a Mountain.
{T}: Add {U} or {R}.",,,,0.0,dom,"['R', 'U']",[],True,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542041780378,11.0
5,a1d95d37-5dbe-4a25-bc80-a4db08f3c63a,Isolated Chapel,Dominaria,Land,,rare,"Isolated Chapel enters the battlefield tapped unless you control a Plains or a Swamp.
{T}: Add {W} or {B}.",,,,0.0,dom,"['B', 'W']",[],True,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542041780378,3.8
6,d631d040-51e9-4540-91e7-aeb5ade84090,Hinterland Harbor,Dominaria,Land,,rare,"Hinterland Harbor enters the battlefield tapped unless you control a Forest or an Island.
{T}: Add {G} or {U}.",,,,0.0,dom,"['G', 'U']",[],True,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1539622580378,3.7
7,e0b52b9c-7278-46b4-9f3c-3a7fc0c7e526,Clifftop Retreat,Dominaria,Land,,rare,"Clifftop Retreat enters the battlefield tapped unless you control a Mountain or a Plains.
{T}: Add {R} or {W}.",,,,0.0,dom,"['R', 'W']",[],True,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542041780377,4.8
8,0bda51ef-ee3e-48d4-92e2-c9083bbe0f80,Cabal Stronghold,Dominaria,Land,,rare,"{T}: Add {C}.
{3}, {T}: Add {B} for each basic Swamp you control.",,,,0.0,dom,['B'],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542041780377,0.7
9,dab80216-3df7-4e4f-8732-16dd6cac6bcf,"Traxos, Scourge of Kroog",Dominaria,Legendary Artifact Creature — Construct,{4},rare,"Trample
Traxos, Scourge of Kroog enters the battlefield tapped and doesn't untap during your untap step.
Whenever you cast a historic spell, untap Traxos. (Artifacts, legendaries, and Sagas are historic.)",7,7,,4.0,dom,[],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780377,0.3
