,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
0,Boldwyr Heavyweights,Morningtide,0.5,0.5,0.595410803055117,0.6,0.6,0.497037744863832,0.359285846940671,0.442666568887585,0.5,0.5,0.5,0.324638762880621,0.2,0.2,0.458408634312021,0.5,0.5,0.304385584020842,0.3,0.379709126219221,0.399549545491401,0.428006989762781,0.438889978234867,0.373684522164765,0.48723727240786,0.617181620429077,0.809082892416226,0.642263003130989
1,Cephalid Retainer,Odyssey,0.4,0.369073545261614,0.5,0.427509367582742,0.5,0.4,0.4,0.4,0.521338419230449,0.5,0.5,0.375843852809461,0.5,0.5,0.397897728808368,0.4,0.4,0.4,0.4,0.4,0.35105136082307,0.3,0.3,0.320175265464019,0.420420003783818,0.5,0.5,0.339882022405029
2,Bounty Hunter,Tempest,0.9,0.954815609062323,0.931159871882201,0.617268882757624,0.6,0.6,0.640476292518464,0.6,0.653282979416511,0.697790334823311,0.712719246305872,0.58937013579907,0.607344553767405,0.6,0.690540455319417,0.7,0.7,0.7,0.7,0.7,0.685435454373463,0.49948504623759,0.578761348261731,1.82849905919815,3.36952044613015,3.08368230600315,2.26998945435372,2.40595185656972
3,Misdirection,Mercadian Masques,14.9517483964411,15.2333348148313,16.2830751170307,22.3845588501066,23.5416592513496,24.7971749686108,24.6175766796669,31.7429219056254,28.469836513913,26.7839473969566,26.9868616692325,21.8768387947651,16.3954859786947,14.0,10.9415855097794,8.40352504638219,7.51877043937333,5.96381794497296,5.65063365993904,6.8031384512819,5.97222227227272,4.51305013453747,4.34737641914547,4.22719114725194,5.3786745826539,4.93128021938371,3.91817578501427,2.91666507934618
4,City of Traitors,Exodus,34.5,31.9911271236347,33.5514406005884,31.4494054145231,30.57062347986,31.9537022633585,39.9170895298504,49.1715329537727,58.8840881370313,81.2599224087037,89.2871287780102,95.1611617559675,86.2711548402953,78.1183164244585,71.9070329462428,71.3980282635298,69.7522725429959,120.393355833629,147.149844710045,195.092193365121,183.785875548428,142.66243827256,126.545672464166,142.977466808774,144.556336093118,167.718551222178,282.121038564338,291.284896248765
5,Weirding Shaman,Morningtide,0.5,0.5,0.5,0.406424776202123,0.5,0.434074267491861,0.4,0.4,0.4,0.4,0.4,0.331641038275917,0.5,0.5,0.397447274299768,0.341666995618363,0.402702727051595,0.418202213187016,0.4,0.4,0.354654996891864,0.341065371807957,0.3,0.44429926709562,0.44309273056514,0.441409189785462,0.337576137747959,0.360117977594971
6,Shahrazad,Arabian Nights,45.0,48.3796208846765,28.7576805460949,48.1781328690707,40.2534385884626,59.0073478594207,56.2019564565208,52.9128788383845,51.309726210047,51.6275226207545,50.973482545823,47.5671437267207,46.605933101128,48.3626873014081,55.4811349651799,64.9826543770313,74.5510612708223,73.6065803497414,66.8972687237377,87.4104342091914,102.935476896188,102.541237538531,98.6764446361693,120.320260135002,173.678052054523,255.962174867782,285.69683085147,325.882599792855
7,"Doran, the Siege Tower",Lorwyn,4.5,4.16203791153235,3.28646936912129,3.24457885034759,4.33276934550293,5.52166746297181,5.05428363262332,4.69044653928719,4.3257585284737,4.9162664610417,4.94144988749852,4.62052638444035,5.2775447249553,28.3481548089485,13.7384305264011,11.7254384926117,10.5312309119902,9.63815642311083,9.87628246425446,10.4318700271018,11.3274799772971,9.48505448509779,9.12709170768054,9.72104369794339,10.0225222749754,8.50962277961629,8.69393079874179,9.07242883843855
8,Thought Hemorrhage,Alara Reborn,0.8,0.59722274691941,0.5,0.488754683791371,0.510310680598988,0.559258991766575,0.6,0.489999866664889,0.5,0.5,0.5,0.5,0.5,0.5,0.417266822223624,0.5,0.5,0.304385584020842,0.3,0.445652110900158,0.346246362579843,0.394673656429448,0.4,0.4620620008158,0.483183632284975,0.3,0.3,0.2
9,Thelon of Havenwood,Time Spiral,0.5,0.43240758230647,0.599034768619835,0.5,0.5,0.5,0.575476078229689,0.487999839997867,0.399495071932363,0.548594561380258,0.655701390807774,0.557008072580762,0.60155425045975,0.583870707592058,0.478679537653492,0.51754233608337,0.578077730430004,0.5,0.405929383936384,0.548309395788345,0.413063180749376,0.419931133310653,0.512090433145748,0.4,0.675525004729772,1.15876400787637,1.89181530573283,2.08035393278491
