,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
0,Tor Wauki,Legends,0.5,0.5,0.785266453137002,0.799598187929975,0.8,0.8,0.769761710881584,0.746889291857225,0.600126137319222,0.700602416896589,0.7,0.645894143393382,0.6,0.6,0.648197731511095,0.7,0.599549545491401,0.671491072250951,0.794070616063616,0.649273902520326,0.568769538464311,0.597594305095929,0.617642502794172,0.8,0.743541383255705,0.837628738440603,0.656668303060056,0.701982761699544
1,Zhalfirin Commander,Mirage,0.2,0.2,0.295410803055117,0.113654381378089,0.1,0.213332925921399,0.3,0.199333324444326,0.183459344388973,0.281124471379173,0.3,0.3,0.198305070381952,0.2,0.257507274840314,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,Shadow Lance,Guildpact,0.3,0.23240758230647,0.407005898636212,0.3,0.3,0.219074100823342,0.2,0.2,0.2,0.2,0.2,0.2,0.116242934262155,0.1,0.1,0.1,0.200900909017198,0.2,0.2,0.2,0.2,0.2,0.2,0.459648153265175,0.387387724213732,0.2,0.2,0.206745318396648
3,Darigaaz's Attendant,Invasion,0.2,0.2,0.295410803055117,0.355221749659634,0.291807981423571,0.3,0.3,0.3,0.225125947923848,0.3,0.3,0.199275351816693,0.282909600928821,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.341503754975588,0.3,0.3,0.3,0.3,0.3
4,Wonder,Judgment,1.5,1.11037233747042,1.43285047609386,1.05903565103194,1.16242934262155,1.2,0.899762139459135,0.8,0.958459533784347,1.18012084482946,1.45964946907196,1.07995115871245,0.906639039313892,0.6,0.534384093550392,0.504166502190818,0.692492725159686,0.7,0.518590082596948,0.38743967303874,0.417567275380859,0.419244012824875,0.384312437498774,0.324999671048303,0.401351363525798,0.34759482056516,0.3,0.5
5,Chain of Acid,Onslaught,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.22929264615641,0.3,0.3,0.199275351816693,0.282909600928821,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.268728543593233,0.3,0.3,0.3,0.3,0.3,0.3
6,Whipflare,New Phyrexia,0.2,0.506296181068679,0.89468615487181,0.9,0.849293638081679,0.970000222224691,0.815238074829641,0.677111694822598,0.65719702421988,0.619277943107748,0.590132107001408,0.401929738112147,0.499294061814083,0.4,0.381530914692925,0.403508598797353,0.4,0.4,0.703846190828758,0.613041493354976,0.547146821142533,0.412027959051124,0.331045706778564,0.414913354123081,0.559909999189182,0.382818379570923,0.248485427007764,0.2
7,Kabira Vindicator,Rise of the Eldrazi,0.2,0.26148123868043,0.414977753300772,0.297992144483668,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.199275351816693,0.2,0.2,0.254804547788719,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.366666816818169,0.3,0.3,0.3
8,Boggart Shenanigans,Lorwyn,0.2,0.2,0.402658734184553,0.212851359654936,0.2,0.476112512361248,0.423808911555879,0.448445312604168,0.415025871408117,0.400602416896589,0.4,0.316907491412919,0.394774108255155,0.306720269681769,0.401351363525798,0.4,0.489639996756728,0.5,0.5,0.5,0.5,0.330412169197621,0.399345085197749,0.601097382860301,0.595195452211281,0.813402200022681,0.968787614320261,0.606745318396647
9,Talruum Piper,Visions,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.236868461124705,0.3,0.3,0.199275351816693,0.2,0.2,0.257507274840314,0.3,0.3,0.3,0.3,0.3,0.3,0.258419158960402,0.3,0.653510572507533,0.3,0.3,0.3,0.3
