cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
Aura Fracture,Prophecy,0.2,0.2,0.10458919694488301,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.20326395117475402,0.30130884919312106,0.19298346030868802,0.147597726105641,0.20481035886967897,0.3,0.24662734080167603
Negate,Morningtide,0.2,0.2,0.506279801156539,0.17730876275617802,0.1,0.1,0.1,0.1,0.186868082333957,0.21204894034867897,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.20065790339346598,0.2,0.2,0.2,0.37663223332199297,0.4,0.299342096606534,0.360210001891909,0.45859081021453796,0.37515227549591795,0.2
Snow-Covered Forest,Coldsnap,0.5,0.5,0.680676531543935,0.7,0.672175187925321,0.782963144034934,0.624998214260204,0.754444059254123,0.7657826953234491,0.7678712996542131,0.7407893524914799,0.615461093639038,0.772881549843643,0.8,0.7171177217812769,0.6,0.603152731105686,0.7,0.6059293839363841,0.6,0.6330322795700861,0.656358312972299,0.767970940606679,0.660088948538797,0.713363183452103,0.7130583820451759,0.7,0.780353932784914
Latulla's Orders,Prophecy,0.1,0.1,0.1,0.82128579862408,0.9,0.9,0.10595222788897,0.1,0.164267911120539,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.18591119496077302,0.288237024255378,0.19912301477651,0.2,0.2,0.2,0.26765854355409
Sun Clasp,Visions,0.1,0.1,0.554829055493558,0.8,0.8,0.8,0.109523707481535,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.29339363417688397,0.3,0.24775670919912698,0.13937230974361903,0.200450454508599,0.2,0.2,0.2,0.120420454238326,0.219243497355643,0.24939453444608103,0.2
Onslaught,Exodus,0.1,0.1,0.24347816635023697,0.19759033241364396,0.2,0.251481127568084,0.3,0.3,0.179545299585603,0.239960120001446,0.291228174054922,0.18454180495369502,0.18799438978296398,0.2,0.2,0.2,0.2,0.2,0.252243290800873,0.198550703633386,0.24804773015973103,0.200515469231642,0.274182827114257,0.19407886945880898,0.2,0.259621748677821,0.3,0.3
Trapjaw Kelpie,Eventide,0.1,0.317037411526795,0.10627980115653901,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.11036000324327198,0.1,0.194070616063616,0.2,0.276876818710078,0.397251002587656,0.298039177238769,0.183991894630192,1.2936931864251002,0.873544057155228,0.2,0.3
Pyknite,Ice Age,0.36896337678460606,0.4,0.14734271511181302,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.29339363417688397,0.3,0.19375042067712198,0.1,0.200900909017198,0.2,0.2,0.24473743075566798,0.120420454238326,0.1,0.1,0.24603150037500401
Sinister Strength,Planeshift,0.1,0.1,0.29082160611023306,0.209236858275401,0.2,0.2,0.2,0.2,0.20896484064273202,0.2,0.2,0.14154625429354098,0.15748608039051198,0.1,0.18498545031937197,0.1,0.1,0.1,0.20448658160174601,0.239372309743619,0.2,0.2,0.2,0.35526191134093893,0.31276272759214,0.3,0.247576319569447,0.2
Sparring Collar,Fifth Dawn,0.1,0.16148123868043,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25109606705351395,0.195045000405409,0.2,0.2,0.2,0.276876818710078,0.302748997412344,0.3,0.16008829063540303,0.577477274570041,0.404468602769101,0.143030782377861,0.23531708710818
Dewdrop Spy,Morningtide,0.1,0.182037022633585,0.244203539181727,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.107894182818195,0.194070616063616,0.2,0.253453184262921,0.3,0.3,0.140570270661456,0.173273182641285,0.2,0.2,0.3
Sangrite Backlash,Alara Reborn,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.107894182818195,0.194070616063616,0.2,0.275525455184281,0.3,0.3,0.301316464690325,0.33933954359949203,0.2,0.2,0.3
Arcbound Bruiser,Darksteel,0.268963376784606,0.3,0.3,0.3,0.3,0.3,0.100237860540865,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.200515469231642,0.2,0.146930222766089,0.1,0.1,0.1,0.21428588435576604
Lionheart Maverick,Guildpact,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.202020091061296,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.11036000324327198,0.1,0.194070616063616,0.2,0.25075045721132605,0.3,0.3,0.132675429939868,0.1,0.15910627944618,0.2,0.3
Soul Strings,Prophecy,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.257507274840314,0.31357385127681703,0.392810643345948,0.26513177804971105,0.140840908476653,0.15910627944618,0.2,0.26765854355409
Vulshok Morningstar,Darksteel,0.1,0.162592362137357,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.276876818710078,0.3,0.3,0.37543651890156393,0.7,0.463574882215281,0.3,0.2
Merrow Witsniper,Morningtide,0.3,0.16481516461294002,0.5806772561921191,0.6,0.6,0.6,0.100237860540865,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11021000189190899,0.295614415979158,0.205929383936384,0.13937230974361903,0.192792727862413,0.2,0.2,0.164693614389663,0.1,0.1,0.22484772450408202,0.3
Judge Unworthy,Future Sight,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21996999972972697,0.20652841781873998,0.280393733210455,0.19649140120264702,0.2,0.258590810214538,0.3,0.2
Blade of the Sixth Pride,Future Sight,0.1,0.1,0.24710140726677202,0.258032024482223,0.19957626759548802,0.27092578806431195,0.198571408162974,0.2,0.218308093243131,0.28353413896553004,0.199342096606534,0.219082160611023,0.2,0.2,0.2,0.2,0.17492454886981,0.2,0.2,0.2,0.2,0.169072361570738,0.27810545304809897,0.211842261082383,0.120420454238326,0.1,0.1,0.24662734080167603
Whipgrass Entangler,Legions,0.2,0.30296225513616803,0.11376759083464999,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.255043487414308,0.18695633270047401,0.2,0.2,0.2,0.253069777233911,0.19399454049135603,0.1,0.194070616063616,0.291787562138582,0.3,0.39467365642944796,0.298039177238769,0.36293898603929,0.261261813169488,0.2,0.2,0.2
Juniper Order Druid,Ice Age,0.36896337678460606,0.234630384782053,0.181400455079059,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.29339363417688397,0.3,0.24775670919912698,0.13937230974361903,0.20180181803439698,0.2,0.2,0.23662416610744896,0.17372363714988398,0.2,0.2,0.27301575018750196
Silver Drake,Planeshift,0.1,0.1,0.19541080305511702,0.2,0.29646903787320195,0.191481572017467,0.20309504421491698,0.2,0.279040371517966,0.270682779310594,0.21535020197634197,0.20772982217133604,0.2,0.2,0.221321363255525,0.2,0.2,0.2,0.2,0.206763141494804,0.30495454914008197,0.31700996917494,0.375163238494872,0.661408702746089,0.519369994324273,0.25910627944618,0.3,0.3
Sea Snidd,Planeshift,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.15606065197463598,0.180522054482584,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.260660456400508,0.30584181280219397,0.375163238494872,0.303509256700746,0.46741817493851295,0.15910627944618,0.2,0.26765854355409
Bandage,Stronghold,0.1,0.19925943621595799,0.423428600414499,0.6,0.6,0.6,0.109523707481535,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.18436478726584804,0.319935685013432,0.184429400386847,0.2,0.2,0.2,0.26825378873558
Vicious Betrayal,Fifth Dawn,0.1,0.1,0.18164248757228402,0.290763141724599,0.3,0.3,0.3,0.197999973332978,0.245327994909052,0.20060241689658898,0.199342096606534,0.221256105160944,0.2,0.2,0.240090901719835,0.19649140120264702,0.2,0.2,0.2,0.2,0.276876818710078,0.30841915896040195,0.3,0.16886011658048097,0.1,0.15910627944618,0.2,0.26765854355409
Regeneration,Ice Age,0.1,0.1,0.19541080305511702,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110810457751872,0.1,0.152243290800873,0.2,0.274624546167083,0.3,0.3,0.305479677364176,0.140840908476653,0.159621748677821,0.2,0.27301575018750196
Wake of Vultures,Visions,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110810457751872,0.1,0.152243290800873,0.2,0.274624546167083,0.268728543593233,0.3,0.311840945275596,0.1,0.15292064866648097,0.25787832506045605,0.3
Offering to Asha,Alara Reborn,0.258617835712808,0.3,0.598548529688836,0.9,0.9,0.9,0.100237860540865,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.294294543194083,0.3,0.205929383936384,0.140096957926927,0.192342273353814,0.2,0.22516323849487196,0.20372833853077,0.2,0.375772430643615,0.39363624793178104,0.25337265919832397
Chub Toad,Ice Age,0.1,0.1,0.17173872085102695,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.18633681384517004,0.1,0.1,0.1,0.196396363931207,0.2,0.2,0.189253148067738,0.169819998378364,0.1,0.1,0.219643090989178
Sanctum Plowbeast,Alara Reborn,0.1,0.174814720163557,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.11036000324327198,0.1,0.194070616063616,0.2,0.275525455184281,0.3,0.3,0.301316464690325,0.33933954359949203,0.2,0.2,0.3
Rest for the Weary,Worldwake,0.1,0.1,0.29082160611023306,0.20983927517199,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.34744772475427693,0.3,0.47717772232182304,0.519956841537389,0.5679487302762529,0.550483340338266,0.441892719754232,0.37457035639542696,0.4,0.37236805747444,0.403002729754322,0.371649192259714,0.420608556519209,0.2
Descendant of Soramaro,Saviors of Kamigawa,0.1,0.1,0.1,0.1,0.1,0.1,0.228572551036443,0.24599994666595604,0.199621209251585,0.2,0.2,0.21545891969448802,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20326446664398604,0.297712700249024,0.160965275858893,0.1,0.1,0.16333296969035802,0.3
Uproot,Betrayers of Kamigawa,0.1,0.16148123868043,0.2,0.2,0.2,0.2,0.2,0.21933425779010396,0.158081121826681,0.167268882757624,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.276876818710078,0.4,0.4,0.167763391623574,0.293394084631393,0.1,0.1,0.23531708710818
Panther Warriors,Visions,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110810457751872,0.1,0.152243290800873,0.2,0.2,0.211167640903514,0.273856350124512,0.19078935249148,0.2,0.252920648666481,0.3,0.3
Machinate,Darksteel,0.258617835712808,0.23518539094878801,0.412318294468036,0.6,0.6,0.6,0.10595222788897,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.157958179803422,0.154123753853133,0.216993470460205,0.17127264832432001,0.1,0.1,0.1,0.23531708710818
Court Homunculus,Conflux,0.1,0.1,0.19541080305511702,0.262449547584911,0.3,0.253888932099246,0.194285632651895,0.2,0.249368555822393,0.256425378619019,0.199342096606534,0.21328497514456696,0.26384164272578603,0.19838707075920603,0.21456454562653698,0.2,0.2,0.107894182818195,0.240384522928105,0.198550703633386,0.19054090577392604,0.215979030711657,0.332352595148924,0.21425479282622104,0.2,0.2,0.2,0.3
Martyr of Frost,Coldsnap,0.258617835712808,0.3,0.3,0.3,0.3,0.3,0.10595222788897,0.1,0.1,0.178715406209713,0.1,0.138164321222047,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.193693636879612,0.188659161434654,0.215032647698975,0.152631613573863,0.1,0.20670110001134,0.2,0.1
Woolly Spider,Ice Age,0.1,0.1,0.181400455079059,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.29339363417688397,0.3,0.205929383936384,0.2,0.18093090928747102,0.2,0.2,0.384864932433322,0.9,0.48264775925525,0.2,0.27301575018750196
Skirk Shaman,Planar Chaos,0.24827229464101003,0.283703707818976,0.10917839388976701,0.1,0.1,0.1,0.2,0.2,0.200126137319222,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.11036000324327198,0.197807207989579,0.2,0.2,0.30630591266588,0.4,0.4,0.299342096606534,0.33543590482797103,0.151889710203198,0.262423862252041,0.3
Parapet,Visions,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110810457751872,0.1,0.152243290800873,0.2,0.2,0.211167640903514,0.273856350124512,0.19078935249148,0.2,0.2,0.2,0.270039524280051
Brainbite,Alara Reborn,0.1,0.8540750452782808,0.9,0.9,0.9,0.9,0.100237860540865,0.1,0.201010234926022,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.295614415979158,0.205929383936384,0.140096957926927,0.1,0.20412375385313297,0.27483480068236604,0.228508269845656,0.3,0.3,0.3,0.3
Bloodfire Infusion,Apocalypse,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.198989765073978,0.2,0.2,0.2,0.2,0.2,0.2,0.250438163660048,0.11021000189190899,0.19912301477651,0.2,0.2,0.2,0.297251002587656,0.3,0.20263161357386303,0.2,0.2,0.2,0.26765854355409
