cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
"Jace, the Mind Sculptor",Worldwake,60.0,65.9332992588807,66.8794417310396,63.19684694996321,90.8096661836117,132.083984266492,158.787646966385,136.65659875465,122.25810839476101,111.012030265425,108.787266937723,101.186999086943,95.0261002211883,96.2986620751948,96.7438256200506,97.31139225516131,99.9061590644961,97.21489098540769,96.82770267021799,89.85507036333858,74.5263065433022,70.81840276703879,72.4804358908998,76.5784918222608,74.4511928035388,147.631861153208,121.125167730322,94.1904367909142
Ajani Vengeant,Shards of Alara,5.98102627767432,5.611851798353309,5.535754141364371,5.02509608549501,5.519490843142741,8.71830909232325,11.6128544693496,10.9757803437379,12.266419063780802,13.759647104182001,13.4203903998737,11.8739032449746,12.951271197213499,12.1118332553751,12.489033684988199,13.5,13.5,12.330478032605699,14.129329608938502,12.973203959477699,12.3226727267813,12.647947916988802,13.704942253769698,13.6662350820406,11.2566068162776,9.861164032618891,9.69092165312097,7.960117977594969
Consecrated Sphinx,Mirrodin Besieged,17.0,12.9444549383882,6.66375744576008,6.02148941553513,4.91934889278723,5.75,6.027375391077019,6.8731043080574405,10.257414828900199,17.4301136158267,15.5778595770997,15.1137994753547,13.6884202408495,13.1333352150841,14.750295948612198,15.9035085987974,16.4244677879981,24.721275937841302,25.3243733112818,22.931158422585803,22.3373958323949,20.0056675842019,23.231386889939,28.9910327767471,22.945817079433198,14.8807503170136,14.527569592174402,15.177972952059
Lord of Extinction,Alara Reborn,6.18454376163873,8.38833264814054,7.26328135190365,7.709839877588889,9.70408647530911,12.9440743786042,12.668577408248698,11.739779863731501,13.2583273358131,13.164261015193,12.8063592942012,13.832847577501099,14.1040953736896,14.004571847932999,13.335126893035099,13.9223693732812,14.367114568599698,16.1333418860774,16.9165025625246,17.458941433933802,17.0090045856269,16.921478571944,16.4754946175415,16.0440762378452,14.754663105072998,14.5843580861658,16.6242386225204,16.2617037107585
Maelstrom Nexus,Alara Reborn,1.1344920339333702,2.01388626540295,2.62512210321889,2.56445740310124,3.10479792201629,4.5970371893021,5.71858383691196,6.1215569540927195,5.68143925332768,6.452605453077751,6.514253477019429,6.2978231568573495,7.37853456385224,7.06854787980451,7.5157514932567,8.989695259148151,9.405709060441989,9.192547928262211,8.84823604073116,8.98333454108031,8.29609050531987,8.89725151805689,9.05787564462048,11.6416242318978,20.4906827989441,22.5197759770719,21.060596556301,20.1107251276801
Mayael the Anima,Shards of Alara,1.5258638526795,1.8379620884676497,2.38454397889825,2.37690514343546,2.47344299527962,4.24296769964111,4.36094872783897,5.071781623754981,5.14582913506921,4.81546283690165,3.6521868708798797,2.17052058725489,2.86229162959008,1.70537911901805,1.7875363742015702,1.8885978762878501,1.98873908773953,1.75679811576468,1.6703521187703703,1.3797091262192198,0.995797709889278,1.0539500407220699,1.2843202807898202,1.2344294003868501,1.54324138055298,1.58986432849823,1.1127284132438797,0.95773699686901
Massacre Wurm,Mirrodin Besieged,5.5,4.8240758230647005,3.77463803823244,3.20702478343113,2.96624251052975,3.1837042633807004,3.2414284489778398,4.05777677035694,4.4075761937590405,4.75863383896191,4.8210535664942995,4.65241090450586,5.562144594445719,5.84569912417942,6.4666596095460305,7.36030934617561,6.70120001081091,7.972356873116749,10.0,10.0,9.15736087712502,8.84896596872133,9.59281848663699,10.5482387926157,10.132134974189,11.218216167177,11.765464826633199,12.5079250943464
Thornling,Conflux,2.5,2.5,2.06521616255308,2.1,2.1,2.2392576584184303,1.9164295204217199,1.77711102814704,2.3173001310616,2.4056241641465603,2.14034724141107,2.0444332526558404,2.45296527936677,2.5,2.0764263642014797,1.8339912367267999,1.99249272515969,2.17653324385847,3.16906893335513,2.98671357555907,2.33558815845188,1.88590964855308,1.88007313868899,1.9083349780918202,2.23858953684267,1.8292131877648201,1.3,2.04226300313099
Karn Liberated,New Phyrexia,12.0,13.7507383415371,15.9190814359628,15.4072229785901,17.747667353113197,35.1590878787542,25.849278561122304,26.1855604741397,42.269720603944,61.4697526476223,55.940801852656,47.71753358744329,48.5100763565793,45.0516298649978,47.6815399237831,46.8366195607837,49.568124487608,57.21390807773789,48.858174117058795,48.997576051826805,46.2339156208615,63.9405519644532,69.2238181140807,69.25392768325901,69.4669636663393,87.80064742935491,74.88720522191309,87.1924213383493
"Uril, the Miststalker",Alara Reborn,3.5862818125388,3.26851020566895,3.2062769025638103,3.6879540717358,4.09901312722989,4.34869331881465,4.762147316390231,4.47934039120522,4.72777293767377,5.719273726189471,5.790132107001411,5.75965738633893,6.39689446520733,5.80913643768448,5.69714546977901,5.7721496335478095,5.48017955116713,7.60197897340755,6.73397340359042,6.469807533442509,6.022671825872309,6.35841864349117,7.36666699347046,5.890783431360941,6.169210983882741,8.13573387354509,8.59546082656048,8.19443445755306
