cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
Boldwyr Heavyweights,Morningtide,0.5,0.5,0.5954108030551171,0.6,0.6,0.497037744863832,0.35928584694067106,0.44266656888758504,0.5,0.5,0.5,0.32463876288062105,0.2,0.2,0.458408634312021,0.5,0.5,0.304385584020842,0.3,0.379709126219221,0.39954954549140104,0.42800698976278106,0.43888997823486703,0.373684522164765,0.48723727240786,0.617181620429077,0.809082892416226,0.642263003130989
Cephalid Retainer,Odyssey,0.4,0.369073545261614,0.5,0.427509367582742,0.5,0.4,0.4,0.4,0.521338419230449,0.5,0.5,0.375843852809461,0.5,0.5,0.397897728808368,0.4,0.4,0.4,0.4,0.4,0.35105136082307004,0.3,0.3,0.320175265464019,0.42042000378381794,0.5,0.5,0.339882022405029
Bounty Hunter,Tempest,0.9,0.954815609062323,0.931159871882201,0.617268882757624,0.6,0.6,0.6404762925184639,0.6,0.653282979416511,0.697790334823311,0.712719246305872,0.5893701357990699,0.607344553767405,0.6,0.690540455319417,0.7,0.7,0.7,0.7,0.7,0.685435454373463,0.49948504623759,0.578761348261731,1.82849905919815,3.36952044613015,3.08368230600315,2.2699894543537202,2.40595185656972
Misdirection,Mercadian Masques,14.951748396441099,15.2333348148313,16.283075117030698,22.3845588501066,23.541659251349603,24.7971749686108,24.6175766796669,31.7429219056254,28.469836513913002,26.783947396956602,26.986861669232503,21.8768387947651,16.395485978694698,14.0,10.9415855097794,8.40352504638219,7.51877043937333,5.96381794497296,5.65063365993904,6.8031384512819,5.972222272272719,4.51305013453747,4.34737641914547,4.22719114725194,5.3786745826539,4.93128021938371,3.9181757850142698,2.91666507934618
City of Traitors,Exodus,34.5,31.9911271236347,33.5514406005884,31.449405414523103,30.570623479859997,31.953702263358498,39.917089529850394,49.171532953772704,58.8840881370313,81.2599224087037,89.2871287780102,95.1611617559675,86.2711548402953,78.1183164244585,71.9070329462428,71.3980282635298,69.7522725429959,120.393355833629,147.149844710045,195.092193365121,183.785875548428,142.66243827256,126.54567246416599,142.97746680877398,144.556336093118,167.718551222178,282.121038564338,291.284896248765
Weirding Shaman,Morningtide,0.5,0.5,0.5,0.40642477620212303,0.5,0.434074267491861,0.4,0.4,0.4,0.4,0.4,0.331641038275917,0.5,0.5,0.3974472742997679,0.341666995618363,0.402702727051595,0.418202213187016,0.4,0.4,0.354654996891864,0.341065371807957,0.3,0.44429926709561995,0.44309273056514004,0.441409189785462,0.33757613774795897,0.360117977594971
"Doran, the Siege Tower",Lorwyn,4.5,4.16203791153235,3.28646936912129,3.24457885034759,4.33276934550293,5.52166746297181,5.05428363262332,4.690446539287191,4.3257585284737,4.9162664610417,4.9414498874985195,4.62052638444035,5.2775447249553,28.348154808948497,13.7384305264011,11.7254384926117,10.5312309119902,9.63815642311083,9.876282464254462,10.4318700271018,11.327479977297099,9.48505448509779,9.127091707680538,9.72104369794339,10.0225222749754,8.50962277961629,8.69393079874179,9.072428838438551
Thought Hemorrhage,Alara Reborn,0.8,0.59722274691941,0.5,0.48875468379137105,0.510310680598988,0.559258991766575,0.6,0.489999866664889,0.5,0.5,0.5,0.5,0.5,0.5,0.417266822223624,0.5,0.5,0.304385584020842,0.3,0.445652110900158,0.34624636257984304,0.39467365642944796,0.4,0.46206200081579996,0.48318363228497496,0.3,0.3,0.2
Thelon of Havenwood,Time Spiral,0.5,0.43240758230647,0.599034768619835,0.5,0.5,0.5,0.575476078229689,0.48799983999786695,0.399495071932363,0.548594561380258,0.6557013908077739,0.557008072580762,0.60155425045975,0.583870707592058,0.478679537653492,0.51754233608337,0.578077730430004,0.5,0.40592938393638395,0.5483093957883449,0.41306318074937604,0.41993113331065296,0.512090433145748,0.4,0.675525004729772,1.1587640078763701,1.8918153057328302,2.08035393278491
Sundering Titan,Darksteel,3.0,3.0,3.2606320381454803,2.2626495499945802,2.5016949296180497,2.6,2.4614323061757997,2.13777783703783,2.55075606633384,2.91887492620393,4.06447782207661,4.01835533848317,5.904801735607929,6.35967031726318,6.511704159496929,7.92280819484467,8.21861503256786,8.671052908590902,8.4634683987346,6.42246554297888,5.595949963513191,4.36615274384272,4.359801172572009,3.5249990131449103,3.35675952035604,2.40412684666852,2.2327278677794102,1.7593227300325
Braid of Fire,Coldsnap,6.5,6.5,6.492271627125031,6.875100904830179,6.40903566979381,7.55999233324815,9.37333961913742,8.79043053907385,8.27840362426988,9.719683369679151,9.479608942222919,7.5633132364237206,8.17698455071653,8.4086033645704,9.78707465833025,12.108327741154499,12.6561577131326,13.0,12.690710006826999,12.370777112711801,11.598798187371099,9.77748481943113,11.0706121688661,10.7427571415413,11.5878323228137,14.5467303786637,15.590915289368901,16.9287509375112
Thalakos Drifters,Exodus,0.2,0.266481294236603,0.498309395788345,0.5,0.5,0.5,0.42880969728138996,0.33955586074481003,0.40265153523890296,0.4,0.4,0.38599037667212605,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35105136082307004,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Wood Sage,Tempest,0.54827229464101,0.53240758230647,0.5,0.48333353413896596,0.5,0.5,0.5,0.5,0.43838362411836496,0.443574018964084,0.5,0.397101407266772,0.487994389782964,0.5,0.3963963639312071,0.49451769102224996,0.5,0.5,0.5,0.5,0.407807277543041,0.4147774719327,0.403267711131591,0.381797786812984,0.47957954576167405,0.38075650264435706,0.4706058291968939,0.36349242252884
True Believer,Onslaught,1.8,1.7390743230480301,2.5381621472775002,2.03112145929469,2.0,1.7990738785986498,1.8135737653395,1.72422232296431,1.7483590784778702,1.84337341413752,1.82192989381439,1.68309033464253,1.80819244230883,1.66101791964387,1.56156046450869,1.63486559033672,2.0,2.0,1.27051221646362,1.17971057551559,1.1746254470761002,0.891924143547872,1.1294113610070802,1.21359688943276,1.32177136730962,1.14450200517531,1.06333296969036,1.1
Muse Vessel,Dissension,0.4,0.48037033744819396,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.387680980883781,0.488841854591988,0.5,0.41906864025802,0.5,0.305705456805917,0.3,0.3,0.3,0.38738682330471397,0.401546407694925,0.4,0.4,0.475525455184281,0.38178744110764007,0.3,0.2
Undead Gladiator,Onslaught,1.0,1.25203557817309,1.2765713995855001,1.25642357136833,1.12994305036483,1.18296314403493,1.22809682995471,1.17155562074161,1.2,1.18995951758455,1.14057224437164,0.666185017174162,0.8936444376647259,0.9,0.8912913629852521,0.8041665021908181,0.9924927251596859,1.0,1.12852527428148,1.24975869215496,1.06936864296075,0.841235476654398,0.737911527677013,0.916008763273201,0.9,0.78178744110764,0.5733340606192839,0.448807723901475
"Isamaru, Hound of Konda",Champions of Kamigawa,3.5,3.2972227469194104,3.40966390817258,3.20682960035663,3.0,3.0,3.13428620408863,3.37244496593288,3.13320593337828,3.31044410173617,3.34868156159949,2.72487065029928,3.39180840515598,3.42553831513411,4.54864278056559,4.86271924630587,5.781083162911379,6.30723364781116,5.15576640160002,4.7514456731257,4.90000180181803,4.25533046732441,3.69934802643189,3.3085481387913003,3.40420364147425,5.2487798843287,12.4333078783251,10.7722294313028
Death Pits of Rath,Tempest,0.6086281812538801,0.8840748230535899,0.559661009579849,0.6,0.566666666666667,0.575925843620485,0.6,0.6,0.6,0.6,0.6,0.414733546862998,0.601271197213536,0.6,0.6,0.597367728522744,0.603753637420157,0.6,0.44551293762440003,0.5707727648226789,0.525526806547807,0.4886586459654221,0.4473842624365179,0.43420966065343,0.6893390931449829,0.680756502644357,0.6,0.6
Thoughts of Ruin,Saviors of Kamigawa,0.6,0.73518483538706,0.509419701734808,0.5,0.5,0.5,0.575476078229689,0.6,0.498106046257926,0.5,0.5,0.32463876288062105,0.34562072559937,0.5,0.38693726970513204,0.3,0.49249272515968606,0.5,0.40592938393638395,0.4,0.41891863890665704,0.37164970772894607,0.488560560010981,0.397149304596113,0.5289790899017109,0.44759482056516,0.33666703030964196,0.2
Pillar Tombs of Aku,Visions,0.5,0.5,0.5,0.414056193448114,0.4,0.4,0.4,0.42866638221842995,0.6739899544693521,0.5242972806901289,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.398453592305075,0.397385242847899,0.36425413492282793,0.6109613600122521,0.534536953989216,0.816363024782269,0.5019839521899071
"Yukora, the Prisoner",Betrayers of Kamigawa,0.4,0.46759241769353005,0.5,0.420682176893697,0.5,0.398333314814609,0.8285754082201171,0.7486686489153191,0.565278524837309,0.4,0.4,0.39613545123842403,0.4,0.4,0.381530914692925,0.40350859879735296,0.4,0.4,0.4,0.4,0.351952269840269,0.34982834874586305,0.3,0.431139883419519,0.32222227227272304,0.3,0.3,0.3
Storm Spirit,Ice Age,0.4,0.247407748974989,0.49516949521007503,0.5,0.5,0.5,0.44452420748867794,0.314222189629195,0.45808074303593205,0.5,0.414035053092804,0.4,0.4,0.4,0.34249272515968604,0.49166699561836297,0.414114091117938,0.4,0.4,0.4,0.38258317642501294,0.394845307683584,0.4,0.5940782115554151,0.6594599951350911,0.505841297332962,0.6,0.39523863379325896
Moratorium Stone,Guildpact,0.5,0.37703752263914003,0.357245032536703,0.41405559103121703,0.5,0.397037744863832,0.463571622451749,0.5,0.6588383245327621,0.7,0.7,0.456279801156538,0.416242934262155,0.4,0.3749254497788271,0.3,0.49249272515968606,0.5,0.40592938393638395,0.4,0.358258632960657,0.3,0.3,0.3,0.4018018180343971,0.34089372055382,0.3,0.2
Chaosphere,Mirage,0.4,0.572037467082968,0.7893723097436189,0.719076735864287,0.7,0.7,0.689999857140816,0.6535560474139649,0.530302881082432,0.5941764358606729,0.6,0.47608588530268603,0.701271197213536,0.751883094888627,0.972373174533104,0.7644732167528521,0.7876872764619499,0.8,0.715384282541178,0.90338120842331,0.6834836349877029,1.0718208435138499,1.3794103805956999,1.81271727259569,4.36891728754313,4.41941514860978,4.32636502481863,4.27539494517792
Psychic Theft,Prophecy,0.5,0.37703752263914003,0.3,0.425903324136435,0.5,0.5,0.337619108844412,0.44333324444325894,0.539646512473579,0.5,0.5,0.32463876288062105,0.2,0.2,0.36861863620393,0.4,0.4,0.4,0.4,0.4,0.351952269840269,0.3,0.3,0.43903472414110706,0.42042045423832597,0.34089372055382,0.3,0.3
Strongarm Tactics,Onslaught,0.5,0.378148646096068,0.3,0.41566223689442,0.5,0.5,0.5,0.390666542220563,0.47626307775058896,0.4,0.4,0.28309250858708096,0.399011432300274,0.4,0.378678636744475,0.4,0.4,0.4,0.4,0.4,0.41891863890665704,0.355670161548057,0.3,0.3774128606955349,0.4018018180343971,0.34089372055382,0.3,0.3
Barren Glory,Future Sight,0.4,0.46759241769353005,0.5,0.415260424824395,0.5,0.5,0.5,0.5,0.44330790384775604,0.5,0.5,0.39806663864693703,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.39948453076835794,0.417648385262456,0.42587665627179294,0.39414409138821105,0.4,0.557878325060456,0.45337265919832404
Spellshift,Planar Chaos,0.5,0.37703752263914003,0.3,0.404216315859227,0.5,0.397037744863832,0.463571622451749,0.5,0.5,0.5,0.5,0.328017797359382,0.5,0.5,0.344744997702682,0.3,0.49249272515968606,0.5,0.40592938393638395,0.4,0.39069135757979795,0.3,0.3,0.3,0.561261362714979,0.39622057959360396,0.3,0.2
