cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
Zhalfirin Commander,Mirage,0.2,0.2,0.295410803055117,0.113654381378089,0.1,0.213332925921399,0.3,0.19933332444432603,0.18345934438897302,0.281124471379173,0.3,0.3,0.198305070381952,0.2,0.257507274840314,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Shadow Lance,Guildpact,0.3,0.23240758230647002,0.40700589863621206,0.3,0.3,0.21907410082334197,0.2,0.2,0.2,0.2,0.2,0.2,0.116242934262155,0.1,0.1,0.1,0.200900909017198,0.2,0.2,0.2,0.2,0.2,0.2,0.459648153265175,0.387387724213732,0.2,0.2,0.20674531839664803
Darigaaz's Attendant,Invasion,0.2,0.2,0.295410803055117,0.355221749659634,0.29180798142357106,0.3,0.3,0.3,0.22512594792384805,0.3,0.3,0.19927535181669298,0.28290960092882106,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.34150375497558805,0.3,0.3,0.3,0.3,0.3
Wonder,Judgment,1.5,1.1103723374704197,1.43285047609386,1.05903565103194,1.1624293426215502,1.2,0.899762139459135,0.8,0.958459533784347,1.18012084482946,1.45964946907196,1.07995115871245,0.9066390393138921,0.6,0.5343840935503921,0.5041665021908179,0.6924927251596861,0.7,0.5185900825969479,0.38743967303874,0.417567275380859,0.41924401282487495,0.38431243749877403,0.32499967104830296,0.4013513635257979,0.34759482056516,0.3,0.5
Chain of Acid,Onslaught,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.22929264615641,0.3,0.3,0.19927535181669298,0.28290960092882106,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.268728543593233,0.3,0.3,0.3,0.3,0.3,0.3
Whipflare,New Phyrexia,0.2,0.5062961810686789,0.89468615487181,0.9,0.849293638081679,0.970000222224691,0.815238074829641,0.6771116948225979,0.65719702421988,0.619277943107748,0.590132107001408,0.401929738112147,0.4992940618140829,0.4,0.381530914692925,0.40350859879735296,0.4,0.4,0.7038461908287579,0.6130414933549762,0.547146821142533,0.41202795905112394,0.331045706778564,0.41491335412308095,0.559909999189182,0.382818379570923,0.248485427007764,0.2
Kabira Vindicator,Rise of the Eldrazi,0.2,0.26148123868043,0.414977753300772,0.297992144483668,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.19927535181669298,0.2,0.2,0.25480454778871897,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.366666816818169,0.3,0.3,0.3
Boggart Shenanigans,Lorwyn,0.2,0.2,0.40265873418455295,0.212851359654936,0.2,0.47611251236124796,0.42380891155587896,0.448445312604168,0.41502587140811703,0.40060241689658904,0.4,0.316907491412919,0.394774108255155,0.30672026968176896,0.4013513635257979,0.4,0.489639996756728,0.5,0.5,0.5,0.5,0.33041216919762106,0.399345085197749,0.601097382860301,0.595195452211281,0.8134022000226809,0.9687876143202611,0.606745318396647
Talruum Piper,Visions,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.236868461124705,0.3,0.3,0.19927535181669298,0.2,0.2,0.257507274840314,0.3,0.3,0.3,0.3,0.3,0.3,0.25841915896040196,0.3,0.653510572507533,0.3,0.3,0.3,0.3
Murderous Spoils,Darksteel,0.2,0.2,0.10458919694488301,0.221284593790287,0.18177993033839301,0.200555561728464,0.2,0.2,0.174494882536989,0.17991963758599502,0.14429860919222598,0.148309395788345,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.19969909638825603,0.154123753853133,0.288562520833742,0.289035382044501,0.190090000810818,0.2,0.2,0.26765854355409
Metamorphic Wurm,Odyssey,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.19927535181669298,0.28290960092882106,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.47499901314490994,0.334984999864864,0.3,0.3,0.3
Sylvan Echoes,Lorwyn,0.2,0.36851853909487897,0.30458919694488296,0.20140543861974203,0.2,0.2,0.2,0.13955586074481,0.221591072659641,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.34654636528257,0.341409189785462,0.3,0.24662734080167603
Phyrexian Prowler,Nemesis,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.22550473867226298,0.3,0.3,0.19927535181669298,0.28290960092882106,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.251501364877161,0.3,0.32418282711425706,0.2,0.2,0.2,0.2,0.2
Wakedancer,Dark Ascension,0.18846065081929397,0.2,0.2,0.262449547584911,0.18841854591988103,0.22555528394759902,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.19838707075920603,0.2,0.2,0.11036000324327198,0.1,0.194070616063616,0.2,0.276876818710078,0.35498304106227896,0.3,0.478069448282214,0.562463175343922,0.2,0.25060546555391894,0.3
Mogg Alarm,Nemesis,0.3,0.3,0.44347816635023707,0.448995771033386,0.5,0.397037744863832,0.40047643537764793,0.47644435259136797,0.42815627391116606,0.398192749310233,0.44758746825616097,0.5,0.3676552343663929,0.4,0.40930864242020204,0.5,0.331831367850161,0.4,0.4,0.4,0.346245912125334,0.298969061536717,0.3,0.3,0.3,0.404810358869679,0.43363788432517,0.24662734080167603
Decomposition,Mirage,0.2,0.2,0.295410803055117,0.28273111724237604,0.3,0.3,0.3,0.3,0.22512594792384805,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Quest for Renewal,Worldwake,0.110345541071798,0.23518483538706,0.20603849331149698,0.212650152411475,0.14788133797744,0.185184279825331,0.11571379591136999,0.1,0.208837945742013,0.21224894275834602,0.2,0.2,0.28615793354181,0.299193535379603,0.3,0.3,0.3,0.3,0.495833133010894,0.638648386208496,0.480330453427508,0.437800905163971,0.38235357556030497,0.503071750944091,0.4,0.5757724306436149,0.636670666739395,0.9089209395349941
Bloodshot Trainee,Future Sight,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.185999813330844,0.299495071932363,0.198795166206822,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.293642717966165,0.44150277456420706,0.20942972933854398,0.2,0.2,0.276362297496318,0.293254681603352
Soul Exchange,Fallen Empires,0.4,0.4,0.5014492963666141,0.40441752310268797,0.4,0.4,0.4,0.310222136295151,0.482449867044447,0.4,0.4,0.331641038275917,0.328672700616107,0.2,0.34279362877142994,0.2,0.39714727159704105,0.4,0.211858767872768,0.26062769025638,0.371921819115488,0.413231064237776,0.29673228886840897,0.479824076632587,0.500300453157236,0.459621748677821,0.384243349879089,0.3
Zombie Brute,Legions,0.3,0.24074100823342498,0.2,0.2,0.2,0.2,0.14880998299975698,0.14244456592754598,0.232701762892143,0.166265256207906,0.1,0.1,0.1,0.1,0.1,0.20613955446782198,0.20195181938576,0.2,0.2,0.2,0.2,0.2,0.2,0.43223792418321294,0.22177181776412397,0.2,0.304847360861107,0.33234145644590996
