begin_date,end_date,season
9/30/2011,2/2/2012,1
2/3/2012,5/3/2012,2
5/4/2012,7/12/2012,3
7/13/2012,10/4/2012,4
10/5/2012,1/31/2013,5
2/1/2013,5/2/2013,6
5/3/2013,7/12/2013,7
7/13/2013,9/26/2013,8
9/27/2013,2/6/2014,9
2/7/2014,5/1/2014,10
5/2/2014,7/17/2014,11
7/18/2014,9/25/2014,12
9/26/2014,1/22/2015,13
1/23/2015,3/26/2015,14
3/27/2015,7/16/2015,15
7/17/2015,10/1/2015,16
10/2/2015,1/21/2016,17
1/22/2016,4/7/2016,18
4/8/2016,7/21/2016,19
7/22/2016,9/29/2016,20
9/30/2016,1/19/2017,21
1/20/2017,4/27/2017,22
4/28/2017,6/18/2017,23
7/14/2017,9/28/2017,24
9/29/2017,1/18/2018,25
1/19/2018,4/26/2018,26
4/27/2018,6/21/2018,27
7/13/2018,10/5/2018,28
